ID	Individual	EXPERIMENT	RUN	FASTQ_URI	Factor_Value_disease	Factor_Value_cell_type
HP1525301T2D_D9	HP1525301T2D	ERX1703187	ERR1632854	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632854/ERR1632854.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_E1	HP1525301T2D	ERX1703188	ERR1632855	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632855/ERR1632855.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_E11	HP1525301T2D	ERX1703190	ERR1632857	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632857/ERR1632857.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_E12	HP1525301T2D	ERX1703191	ERR1632858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632858/ERR1632858.fastq.gz	type II diabetes mellitus	PSC cell
HP1525301T2D_E13	HP1525301T2D	ERX1703192	ERR1632859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632859/ERR1632859.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_E15	HP1525301T2D	ERX1703194	ERR1632861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632861/ERR1632861.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_E16	HP1525301T2D	ERX1703195	ERR1632862	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632862/ERR1632862.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_E17	HP1525301T2D	ERX1703196	ERR1632863	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632863/ERR1632863.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_E19	HP1525301T2D	ERX1703198	ERR1632865	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632865/ERR1632865.fastq.gz	type II diabetes mellitus	gamma cell
HP1525301T2D_E2	HP1525301T2D	ERX1703199	ERR1632866	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632866/ERR1632866.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_E22	HP1525301T2D	ERX1703202	ERR1632869	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632869/ERR1632869.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_E23	HP1525301T2D	ERX1703203	ERR1632870	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632870/ERR1632870.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_E24	HP1525301T2D	ERX1703204	ERR1632871	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632871/ERR1632871.fastq.gz	type II diabetes mellitus	PSC cell
HP1525301T2D_E3	HP1525301T2D	ERX1703205	ERR1632872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632872/ERR1632872.fastq.gz	type II diabetes mellitus	gamma cell
HP1525301T2D_E5	HP1525301T2D	ERX1703207	ERR1632874	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632874/ERR1632874.fastq.gz	type II diabetes mellitus	PSC cell
HP1525301T2D_E7	HP1525301T2D	ERX1703209	ERR1632876	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632876/ERR1632876.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_E8	HP1525301T2D	ERX1703210	ERR1632877	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632877/ERR1632877.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_F10	HP1525301T2D	ERX1703213	ERR1632880	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632880/ERR1632880.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_F12	HP1525301T2D	ERX1703215	ERR1632882	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632882/ERR1632882.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_F13	HP1525301T2D	ERX1703216	ERR1632883	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632883/ERR1632883.fastq.gz	type II diabetes mellitus	unclassified endocrine cell
HP1525301T2D_F15	HP1525301T2D	ERX1703218	ERR1632885	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632885/ERR1632885.fastq.gz	type II diabetes mellitus	beta cell
HP1525301T2D_F16	HP1525301T2D	ERX1703219	ERR1632886	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632886/ERR1632886.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_F19	HP1525301T2D	ERX1703222	ERR1632889	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632889/ERR1632889.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_F2	HP1525301T2D	ERX1703223	ERR1632890	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632890/ERR1632890.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_F21	HP1525301T2D	ERX1703225	ERR1632892	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632892/ERR1632892.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_F23	HP1525301T2D	ERX1703227	ERR1632894	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632894/ERR1632894.fastq.gz	type II diabetes mellitus	beta cell
HP1525301T2D_F24	HP1525301T2D	ERX1703228	ERR1632895	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632895/ERR1632895.fastq.gz	type II diabetes mellitus	PSC cell
HP1525301T2D_F3	HP1525301T2D	ERX1703229	ERR1632896	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632896/ERR1632896.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_F4	HP1525301T2D	ERX1703230	ERR1632897	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632897/ERR1632897.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_F5	HP1525301T2D	ERX1703231	ERR1632898	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632898/ERR1632898.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_F7	HP1525301T2D	ERX1703233	ERR1632900	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632900/ERR1632900.fastq.gz	type II diabetes mellitus	PSC cell
HP1525301T2D_F8	HP1525301T2D	ERX1703234	ERR1632901	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632901/ERR1632901.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G1	HP1525301T2D	ERX1703236	ERR1632903	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632903/ERR1632903.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_G10	HP1525301T2D	ERX1703237	ERR1632904	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632904/ERR1632904.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G11	HP1525301T2D	ERX1703238	ERR1632905	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632905/ERR1632905.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_G13	HP1525301T2D	ERX1703240	ERR1632907	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632907/ERR1632907.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G14	HP1525301T2D	ERX1703241	ERR1632908	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632908/ERR1632908.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G15	HP1525301T2D	ERX1703242	ERR1632909	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632909/ERR1632909.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_G17	HP1525301T2D	ERX1703244	ERR1632911	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632911/ERR1632911.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_G18	HP1525301T2D	ERX1703245	ERR1632912	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632912/ERR1632912.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_G19	HP1525301T2D	ERX1703246	ERR1632913	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632913/ERR1632913.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_G20	HP1525301T2D	ERX1703248	ERR1632915	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632915/ERR1632915.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G21	HP1525301T2D	ERX1703249	ERR1632916	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632916/ERR1632916.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G22	HP1525301T2D	ERX1703250	ERR1632917	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632917/ERR1632917.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_G23	HP1525301T2D	ERX1703251	ERR1632918	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632918/ERR1632918.fastq.gz	type II diabetes mellitus	gamma cell
HP1525301T2D_G3	HP1525301T2D	ERX1703253	ERR1632920	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632920/ERR1632920.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G4	HP1525301T2D	ERX1703254	ERR1632921	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632921/ERR1632921.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_G5	HP1525301T2D	ERX1703255	ERR1632922	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632922/ERR1632922.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_G8	HP1525301T2D	ERX1703258	ERR1632925	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632925/ERR1632925.fastq.gz	type II diabetes mellitus	beta cell
HP1525301T2D_G9	HP1525301T2D	ERX1703259	ERR1632926	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632926/ERR1632926.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H1	HP1525301T2D	ERX1703260	ERR1632927	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632927/ERR1632927.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H10	HP1525301T2D	ERX1703261	ERR1632928	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632928/ERR1632928.fastq.gz	type II diabetes mellitus	beta cell
HP1525301T2D_H11	HP1525301T2D	ERX1703262	ERR1632929	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632929/ERR1632929.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H12	HP1525301T2D	ERX1703263	ERR1632930	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632930/ERR1632930.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_H14	HP1525301T2D	ERX1703265	ERR1632932	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632932/ERR1632932.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H16	HP1525301T2D	ERX1703267	ERR1632934	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632934/ERR1632934.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H17	HP1525301T2D	ERX1703268	ERR1632935	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632935/ERR1632935.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H18	HP1525301T2D	ERX1703269	ERR1632936	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632936/ERR1632936.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H19	HP1525301T2D	ERX1703270	ERR1632937	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632937/ERR1632937.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_H2	HP1525301T2D	ERX1703271	ERR1632938	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632938/ERR1632938.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H20	HP1525301T2D	ERX1703272	ERR1632939	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632939/ERR1632939.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_H23	HP1525301T2D	ERX1703275	ERR1632942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632942/ERR1632942.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_H24	HP1525301T2D	ERX1703276	ERR1632943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632943/ERR1632943.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H3	HP1525301T2D	ERX1703277	ERR1632944	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632944/ERR1632944.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_H6	HP1525301T2D	ERX1703280	ERR1632947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632947/ERR1632947.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_H7	HP1525301T2D	ERX1703281	ERR1632948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632948/ERR1632948.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_H8	HP1525301T2D	ERX1703282	ERR1632949	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632949/ERR1632949.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_H9	HP1525301T2D	ERX1703283	ERR1632950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632950/ERR1632950.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_I1	HP1525301T2D	ERX1703284	ERR1632951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632951/ERR1632951.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I10	HP1525301T2D	ERX1703285	ERR1632952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632952/ERR1632952.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I11	HP1525301T2D	ERX1703286	ERR1632953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632953/ERR1632953.fastq.gz	type II diabetes mellitus	MHC class II cell
HP1525301T2D_I12	HP1525301T2D	ERX1703287	ERR1632954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632954/ERR1632954.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_I15	HP1525301T2D	ERX1703290	ERR1632957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632957/ERR1632957.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I16	HP1525301T2D	ERX1703291	ERR1632958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632958/ERR1632958.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I17	HP1525301T2D	ERX1703292	ERR1632959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632959/ERR1632959.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I18	HP1525301T2D	ERX1703293	ERR1632960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632960/ERR1632960.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I19	HP1525301T2D	ERX1703294	ERR1632961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632961/ERR1632961.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I2	HP1525301T2D	ERX1703295	ERR1632962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632962/ERR1632962.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_I21	HP1525301T2D	ERX1703297	ERR1632964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632964/ERR1632964.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_I22	HP1525301T2D	ERX1703298	ERR1632965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632965/ERR1632965.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I23	HP1525301T2D	ERX1703299	ERR1632966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632966/ERR1632966.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I24	HP1525301T2D	ERX1703300	ERR1632967	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632967/ERR1632967.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I3	HP1525301T2D	ERX1703301	ERR1632968	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632968/ERR1632968.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_I4	HP1525301T2D	ERX1703302	ERR1632969	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632969/ERR1632969.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_I5	HP1525301T2D	ERX1703303	ERR1632970	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632970/ERR1632970.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_I6	HP1525301T2D	ERX1703304	ERR1632971	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632971/ERR1632971.fastq.gz	type II diabetes mellitus	beta cell
HP1525301T2D_I7	HP1525301T2D	ERX1703305	ERR1632972	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632972/ERR1632972.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_I8	HP1525301T2D	ERX1703306	ERR1632973	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632973/ERR1632973.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_J1	HP1525301T2D	ERX1703308	ERR1632975	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632975/ERR1632975.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_J10	HP1525301T2D	ERX1703309	ERR1632976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632976/ERR1632976.fastq.gz	type II diabetes mellitus	delta cell
HP1525301T2D_J13	HP1525301T2D	ERX1703312	ERR1632979	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632979/ERR1632979.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_J14	HP1525301T2D	ERX1703313	ERR1632980	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632980/ERR1632980.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_J15	HP1525301T2D	ERX1703314	ERR1632981	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632981/ERR1632981.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_J16	HP1525301T2D	ERX1703315	ERR1632982	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632982/ERR1632982.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_J17	HP1525301T2D	ERX1703316	ERR1632983	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632983/ERR1632983.fastq.gz	type II diabetes mellitus	PSC cell
HP1525301T2D_J18	HP1525301T2D	ERX1703317	ERR1632984	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632984/ERR1632984.fastq.gz	type II diabetes mellitus	gamma cell
HP1525301T2D_J19	HP1525301T2D	ERX1703318	ERR1632985	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632985/ERR1632985.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_J2	HP1525301T2D	ERX1703319	ERR1632986	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632986/ERR1632986.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_J20	HP1525301T2D	ERX1703320	ERR1632987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632987/ERR1632987.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_J21	HP1525301T2D	ERX1703321	ERR1632988	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632988/ERR1632988.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_J22	HP1525301T2D	ERX1703322	ERR1632989	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632989/ERR1632989.fastq.gz	type II diabetes mellitus	unclassified endocrine cell
HP1525301T2D_J23	HP1525301T2D	ERX1703323	ERR1632990	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632990/ERR1632990.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_J4	HP1525301T2D	ERX1703326	ERR1632993	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632993/ERR1632993.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_J5	HP1525301T2D	ERX1703327	ERR1632994	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632994/ERR1632994.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_J7	HP1525301T2D	ERX1703329	ERR1632996	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632996/ERR1632996.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_J8	HP1525301T2D	ERX1703330	ERR1632997	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632997/ERR1632997.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_J9	HP1525301T2D	ERX1703331	ERR1632998	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632998/ERR1632998.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K1	HP1525301T2D	ERX1703332	ERR1632999	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632999/ERR1632999.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K10	HP1525301T2D	ERX1703333	ERR1633000	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1633000/ERR1633000.fastq.gz	type II diabetes mellitus	PSC cell
HP1525301T2D_K11	HP1525301T2D	ERX1703334	ERR1633001	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1633001/ERR1633001.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K12	HP1525301T2D	ERX1703335	ERR1633002	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1633002/ERR1633002.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K14	HP1525301T2D	ERX1703337	ERR1633004	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1633004/ERR1633004.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K15	HP1525301T2D	ERX1703338	ERR1633005	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1633005/ERR1633005.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_K16	HP1525301T2D	ERX1703339	ERR1633006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1633006/ERR1633006.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K17	HP1525301T2D	ERX1703340	ERR1633007	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1633007/ERR1633007.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K18	HP1525301T2D	ERX1703341	ERR1633008	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1633008/ERR1633008.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K19	HP1525301T2D	ERX1703342	ERR1633009	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1633009/ERR1633009.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_K2	HP1525301T2D	ERX1703343	ERR1633010	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1633010/ERR1633010.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K21	HP1525301T2D	ERX1703345	ERR1633012	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1633012/ERR1633012.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K22	HP1525301T2D	ERX1703346	ERR1633013	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1633013/ERR1633013.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_K23	HP1525301T2D	ERX1703347	ERR1633014	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1633014/ERR1633014.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_K3	HP1525301T2D	ERX1703349	ERR1633016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1633016/ERR1633016.fastq.gz	type II diabetes mellitus	alpha cell
HP1525301T2D_K5	HP1525301T2D	ERX1703351	ERR1633018	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1633018/ERR1633018.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_K6	HP1525301T2D	ERX1703352	ERR1633019	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1633019/ERR1633019.fastq.gz	type II diabetes mellitus	ductal cell
HP1525301T2D_K7	HP1525301T2D	ERX1703353	ERR1633020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1633020/ERR1633020.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_K8	HP1525301T2D	ERX1703354	ERR1633021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1633021/ERR1633021.fastq.gz	type II diabetes mellitus	acinar cell
HP1525301T2D_L1	HP1525301T2D	ERX1703356	ERR1633023	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1633023/ERR1633023.fastq.gz	type II diabetes mellitus	ductal cell
